code_ifree;;Description;ETK_Spamm;USI;Silverstreet;infobip;K-cell;SMARTS;GMSU_UA_GATE;MTS_BY;BeeGate;Velcom_Spam;error_type
127;;не пришел деливер(не получили статус от оператора);;;;;;;;;;;
1;;Message Length is invalid;;;;;;;;;;;resp_command_status
2;;Command Length is invalid;;;;;;;;;;;resp_command_status
3;;Invalid Command ID;;;;;;;;;;;resp_command_status
8;;System Error;;;;;;;;;;;resp_command_status
10;;Invalid Source Address;;;;;;;;;;;resp_command_status
11;;Invalid Dest Addr;;;;;;;;;;;resp_command_status
14;;Message Queue Full;;;;;;;;;;;resp_command_status
15;;Invalid Service Type;;;;;;;;;;;resp_command_status
33;;Invalid number of destinations;;;;;;;;;;;resp_command_status
43;;Invalid esm_class field data;;;;;;;;;;;resp_command_status
45;;submit_sm or submit_multi failed;;;;;;;;;;;resp_command_status
48;;Invalid Source address TON;;;;;;;;;;;resp_command_status
49;;Invalid Source address NPI;;;;;;;;;;;resp_command_status
50;;Invalid Destination address TON;;;;;;;;;;;resp_command_status
51;;Invalid Destination address NPI;;;;;;;;;;;resp_command_status
53;;Invalid system_type field;;;;;;;;;;;resp_command_status
55;;Invalid number of messages;;;;;;;;;;;resp_command_status
58;;Throttling error;;;;;;;;;;;resp_command_status
61;;Invalid Scheduled Delivery Time;;;;;;;;;;;resp_command_status
62;;Invalid message validity period;;;;;;;;;;;resp_command_status
194;;Invalid Parameter Length.;;;;;;;;;;;
255;;Unknown Error;;;;;;;;;;;
501;;таймаут (нет ответа от HLR) ;#DIV/0!;261890/229376;;;;;;;;;deliver_sm
502;;таймаут (нет ответа от MSC);#DIV/0!;8/229377/261889;;;;;;;;;deliver_sm
503;;нет ресурсов на SMSC ;11/0/0;;;;;;;;;;deliver_sm
504;;несуществующий абонент ;12.01.2000;;;;;;;;;;deliver_sm
505;;неверный MSC (временная ошибка перерегистрации абонента);12.05.2000;;;;;;;;;;deliver_sm
506;;нет услуги SMS у абонента ;12.09.2000;199424;11;11;;;;;;;deliver_sm
507;;нет услуги SMS у абонента, или абонент блокирован ;12.11.2000;;;;;;;;;;deliver_sm
508;;нет услуги SMS у абонента ;12.12.2000;;;;;;;;;;deliver_sm
509;;абонент блокирован, или в роуминге с недоступной услугой роуминга ;12/13/0;;;;;;;;;;deliver_sm
510;;нет услуги SMS у абонента ;12/21/0;;;;;;;;;;deliver_sm
511;;абонент недоступен уже долгое время или аппарат выключен ;12/27/0;;;;;;;;;;deliver_sm
512;;абонент в условиях плохой связи или сейчас недоступен ;12/27/1;;;;;;;;;;deliver_sm
513;;аппарат абонента не может принять SMS (сбой или сеть занята;12/31/0;;;;;;;;;;deliver_sm
514;;аппарат абонента не может принять SMS (нет места для новых SMS;12/32/0;1029/204800;;;;;;;;;deliver_sm
515;;аппарат абонента не может принять SMS (сбой аппарата;12/32/1;;;;;;;;;;deliver_sm
516;;аппарат абонента не может принять SMS (сбой или сеть занята;12/34/0;;;;;;;;;;deliver_sm
517;;иная ошибка MAP GSM - см спецификацию GSM для подробностей ;12/xx/x;;;;;;;;;;deliver_sm
518;;получен SCCP/TCAP ABORT ;13/0/0;232960/232704;;;;;;;108;;deliver_sm
519;;ошибка при доставке с флагом MMS либо ABORT доставки ;14/0/0;;;;;;;;;;deliver_sm
520;;нет ресурсов на SMSC ;15/0/0;;;;;;;;;;deliver_sm
521;;SMS устарела ;16/0/0;;;;;;;;;;deliver_sm
522;;SMS удалена ;17/0/0;;;;;;;;;;deliver_sm
523;;SMS удалена - ошибка доставки ;18/0/0;;;;;;;;;;deliver_sm
524;;SMS удалена - SMPP недоступен ;19/0/0;;;;;;;;;;deliver_sm
525;;Закончилась память на телефоне ;;;2;256;;;;;;;deliver_sm
526;;Equipment protocol error;;;3;257;;191;;;;;deliver_sm
527;;Equipment not equipped with short-message capability;;;4;258;;192;;;122;;deliver_sm
528;;Unknown service centre (destination MSC);;;5;259;;193;;;;3;deliver_sm
529;;Service centre congestion (Too much inbound traffic at destination network);;;6;260;;194;;;;;deliver_sm
530;неверный адрес SME;Invalid SME address;;;7;261;;;;;;;deliver_sm
531;номер принадлежит к другой сети, но HLR не обновлена;Subscriber is not a SC subscriber (Number belongs to a different destination network but HLR is not updated);;;8;262;;196;;;;;deliver_sm
532;неизвестный IMSI;Unknown subscriber (IMSI is unknown in the HLR);;;9;1;;1;1;;1;1;deliver_sm
